type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters,name
SHOW,2007,26,6.7,38877.0,100.996,8.0,US,1,comedy,19,icarly
MOVIE,2006,117,8.0,501457.0,47.893,7.9,US,1,drama,0,the pursuit of happyness
MOVIE,2003,110,7.3,150339.0,16.309,7.2,US,1,crime,6,monster
MOVIE,2008,92,7.0,230333.0,72.224,6.6,DE,2,action,66,rambo
MOVIE,2003,128,6.7,121364.0,14.619,6.6,US,1,drama,0,something's gotta give
MOVIE,2004,83,7.0,194695.0,15.026,6.5,US,1,comedy,10,harold & kumar go to white castle
MOVIE,2001,91,5.6,87083.0,50.592,6.2,CA,2,horror,65,thir13en ghosts
SHOW,2008,44,7.9,80927.0,74.931,7.9,GB,1,action,71,merlin
SHOW,2010,22,7.9,6636.0,28.925,8.0,US,1,action,38,transformers: prime
MOVIE,2009,90,6.9,229274.0,58.945,6.6,US,1,animation,72,cloudy with a chance of meatballs
SHOW,2001,47,7.6,1155.0,2.189,7.8,BE,2,reality,-1,the mole
SHOW,2010,44,8.3,4880.0,10.243,7.0,AU,1,drama,50,offspring
MOVIE,2007,109,6.0,119606.0,38.491,6.2,US,1,horror,21,halloween
SHOW,2006,24,8.7,62367.0,35.011,8.493,JP,1,scifi,40,code geass: lelouch of the rebellion
MOVIE,2002,88,6.6,94423.0,25.23,6.3,US,1,comedy,10,jackass: the movie
MOVIE,2008,94,5.8,82159.0,12.789,5.6,US,1,comedy,10,semi-pro
MOVIE,2006,99,6.8,149070.0,16.31,7.0,US,1,drama,0,the lake house
MOVIE,2007,91,6.5,26293.0,13.131,6.7,US,1,crime,6,the girl next door
MOVIE,2010,118,6.8,314920.0,30.476,6.8,US,1,scifi,36,the book of eli
MOVIE,2006,143,8.0,541547.0,47.39,7.5,DE,2,drama,42,blood diamond
MOVIE,2005,95,6.7,108029.0,17.486,6.9,US,1,romance,7,just like heaven
MOVIE,2008,106,8.0,222372.0,21.074,7.7,HK,1,drama,73,ip man
MOVIE,2008,123,6.8,249016.0,27.013,6.7,US,1,crime,6,21
MOVIE,2009,97,5.5,106970.0,45.551,5.8,US,1,horror,21,friday the 13th
SHOW,2007,24,8.3,17024.0,27.924,8.2,JP,1,action,34,gurren lagann
MOVIE,2010,116,7.1,121008.0,22.791,6.8,GB,2,drama,69,let me in
SHOW,2008,141,7.6,19812.0,9.68,7.3,GB,1,scifi,74,dead set
MOVIE,2010,95,5.2,99894.0,39.672,5.5,US,1,horror,21,a nightmare on elm street
SHOW,2004,23,6.2,6700.0,25.633,8.222,IT,1,animation,-1,winx club
MOVIE,2005,115,5.1,74637.0,21.495,5.7,US,1,action,43,miss congeniality 2: armed and fabulous
MOVIE,2007,97,7.4,244028.0,22.0,7.2,US,1,drama,0,the bucket list
SHOW,2010,15,7.6,1083.0,40.327,7.4,GB,1,action,71,octonauts
SHOW,2003,21,6.2,4709.0,37.945,7.5,JP,1,family,-1,sonic x
MOVIE,2006,83,5.1,120997.0,83.018,5.5,US,1,comedy,10,scary movie 4
MOVIE,2002,84,5.1,58884.0,10.625,5.5,US,1,comedy,10,the sweetest thing
MOVIE,2010,121,5.4,50383.0,9.889,5.251,US,1,comedy,10,how do you know
MOVIE,2007,90,6.4,125160.0,32.512,6.3,US,4,family,75,mr. bean's holiday
MOVIE,2005,128,6.4,106781.0,12.694,6.299,GB,4,thriller,70,the interpreter
MOVIE,2002,116,7.0,133215.0,32.229,7.121,US,1,drama,0,john q
MOVIE,2009,170,8.4,390739.0,44.999,8.0,IN,1,drama,13,3 idiots
MOVIE,2001,87,5.9,92007.0,21.223,6.1,US,1,thriller,5,the one
SHOW,2006,25,7.2,15179.0,30.832,7.8,AU,1,scifi,76,h2o: just add water
MOVIE,2003,98,6.2,141736.0,80.47,6.2,US,1,horror,21,the texas chainsaw massacre
SHOW,2002,29,8.9,7689.0,5.128,8.3,GB,1,comedy,3,still game
MOVIE,2003,82,4.0,82684.0,66.8,5.3,US,1,family,75,the cat in the hat
MOVIE,2003,121,6.6,121957.0,43.254,6.797,US,1,war,12,tears of the sun
MOVIE,2010,95,6.5,341390.0,36.06,6.3,US,1,comedy,10,due date
SHOW,2008,25,8.2,1877.0,36.122,7.5,JP,1,scifi,40,black butler
MOVIE,2006,131,7.0,61345.0,13.173,6.9,US,1,drama,0,we are marshall
MOVIE,2009,93,6.7,33051.0,33.787,7.4,US,1,thriller,5,blood and bone
MOVIE,2003,97,5.7,118925.0,65.747,6.0,IT,2,horror,77,freddy vs. jason
